"Block"	"Trial"	"FaceFilename"	"WordFilename"	"FaceRace"	"Fix"	"WordValence"	"Condition"	"RT"	"Key"	"Error"	"Subno"	"Congruent"
2	39	"C:\Hannah's FYP\White14_neu.jpg"	"despair"	"White"	"eyes"	"Neg"	221	406	1	0	2	"Incon"
2	40	"C:\Hannah's FYP\White8_neu.jpg"	"romance"	"White"	"forehead"	"Pos"	212	63	2	0	2	"Con"
2	41	"C:\Hannah's FYP\White7_neu.jpg"	"despair"	"White"	"forehead"	"Neg"	211	167	1	0	2	"Incon"
2	42	"C:\Hannah's FYP\Black8_neu.jpg"	"cockroach"	"Black"	"forehead"	"Neg"	111	328	2	1	2	"Con"
2	43	"C:\Hannah's FYP\White16_neu.jpg"	"garbage"	"White"	"eyes"	"Neg"	221	500	1	0	2	"Incon"
2	44	"C:\Hannah's FYP\White18_neu.jpg"	"pest"	"White"	"nose"	"Neg"	231	461	1	0	2	"Incon"
2	45	"C:\Hannah's FYP\Black21_neu.jpg"	"smile"	"Black"	"nose"	"Pos"	132	264	1	1	2	"Incon"
2	46	"C:\Hannah's FYP\White2_neu.jpg"	"despair"	"White"	"forehead"	"Neg"	211	544	1	0	2	"Incon"
2	47	"C:\Hannah's FYP\White12_neu.jpg"	"success"	"White"	"eyes"	"Pos"	222	593	2	0	2	"Con"
2	48	"C:\Hannah's FYP\Black10_neu.jpg"	"vomit"	"Black"	"eyes"	"Neg"	121	306	1	0	2	"Con"
2	49	"C:\Hannah's FYP\Black20_neu.jpg"	"despair"	"Black"	"nose"	"Neg"	131	171	1	0	2	"Con"
